trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-240.58459158021105,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 5}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-106.68827392777344,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-125.02019800345904,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-117.52930259862086,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-64.05250020985892,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-37.045875201099804,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-85.45904762722434,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-96.26559511109558,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-62.99929051247136,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-141.07307330467913,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-115.58883509281293,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-38.863766899265656,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-112.04626624546773,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-204.34489862265426,"{0: 10, 1: 1, 2: 11, 3: 1, 4: 2}",0
