trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.76985553777033,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.36694109646864,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.48427966095423,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.99860159263469,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.563109787102263,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-47.967479283671025,"{0: 25, 1: 5, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.72126094732306,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.72566310192104,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.4334289081608,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.34489206737983,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.15321155419662,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.31148513824768,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,11,-39.0180709767995,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.52180130001636,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.11460658257695,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.96502528516606,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.35682997867657,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.48077880480037,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.19658916716676,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.5435913464747,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.63825916344894,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-222.17926109763454,"{0: 17, 1: 7, 2: 7, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.10758917852932,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.23362307210922,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.63319131481758,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.08831798024062,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.57689308346667,"{0: 18, 1: 7, 2: 2, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,8,-33.87857421249113,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.61953893643656,"{0: 6, 1: 7, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.59864936177059,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
